"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln Cortisol (ug/dL)","Ln AGP Age 14 months (g/L)","295","2.53","3.27","-0.14","-0.22","-0.08 (-0.17, 0.01)","0.07"
"4","","Ln CRP Age 14 months (mg/L)","269","2.56","3.28","0","-0.23","-0.22 (-0.53, 0.08)","0.15"
"5","","Ln IFN-y Age 14 months (pg/mL)","294","2.49","3.27","1.72","1.67","-0.05 (-0.15, 0.05)","0.37"
"6","","Sum score of 13 cytokines Age 14 months","289","2.49","3.27","-0.26","-0.33","-0.07 (-0.29, 0.15)","0.54"
"7","","Ln AGP Age 28 months (g/L)","174","2.42","3.24","-0.34","-0.33","0.02 (-0.1, 0.14)","0.78"
"8","","Ln CRP Age 28 months (mg/L)","370","2.53","3.27","-0.42","-0.36","0.06 (-0.13, 0.25)","0.55"
"9","","Ln IFN-y Age 28 months (pg/mL)","362","2.51","3.27","1.47","1.59","0.12 (-0.05, 0.29)","0.17"
"10","","Sum score of 13 cytokines Age 28 months","362","2.51","3.27","-0.44","-0.5","-0.06 (-0.21, 0.09)","0.45"
