"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln AGP (g/L)","Ln AGP Age 14 months (g/L)","257","-1.08","-0.53","-0.03","-0.07","-0.04 (-0.1, 0.02)","0.24"
"4","","Ln CRP Age 14 months (mg/L)","232","-1.06","-0.53","-0.23","-0.19","0.04 (-0.16, 0.24)","0.73"
"5","","Ln IFN-y Age 14 months (pg/mL)","252","-1.06","-0.53","1.63","1.62","-0.01 (-0.09, 0.07)","0.81"
"6","","Sum score of 13 cytokines Age 14 months","252","-1.06","-0.53","-0.3","-0.34","-0.04 (-0.19, 0.1)","0.58"
"7","","Ln AGP Age 28 months (g/L)","164","-1.18","-0.59","-0.3","-0.32","-0.02 (-0.1, 0.06)","0.71"
"8","","Ln CRP Age 28 months (mg/L)","346","-1.1","-0.56","-0.27","-0.34","-0.07 (-0.24, 0.11)","0.46"
"9","","Ln IFN-y Age 28 months (pg/mL)","337","-1.08","-0.56","1.64","1.67","0.03 (-0.04, 0.11)","0.41"
"10","","Sum score of 13 cytokines Age 28 months","337","-1.08","-0.56","-0.52","-0.47","0.05 (-0.07, 0.16)","0.43"
"11","","","","","","","","",""
"12","Ln CRP (mg/L)","Ln AGP Age 14 months (g/L)","257","0.02","1.49","-0.08","-0.13","-0.06 (-0.14, 0.03)","0.21"
"13","","Ln CRP Age 14 months (mg/L)","232","0.07","1.53","-0.19","-0.26","-0.07 (-0.31, 0.18)","0.6"
"14","","Ln IFN-y Age 14 months (pg/mL)","252","0.03","1.46","1.62","1.61","-0.01 (-0.11, 0.08)","0.78"
"15","","Sum score of 13 cytokines Age 14 months","252","0.03","1.46","-0.32","-0.34","-0.02 (-0.18, 0.14)","0.85"
"16","","Ln AGP Age 28 months (g/L)","164","-0.17","1.41","-0.29","-0.35","-0.05 (-0.16, 0.05)","0.31"
"17","","Ln CRP Age 28 months (mg/L)","346","-0.12","1.43","-0.36","-0.28","0.08 (-0.12, 0.28)","0.45"
"18","","Ln IFN-y Age 28 months (pg/mL)","337","-0.15","1.42","1.65","1.66","0.01 (-0.11, 0.13)","0.88"
"19","","Sum score of 13 cytokines Age 28 months","337","-0.15","1.42","-0.62","-0.55","0.07 (-0.27, 0.41)","0.69"
"20","","","","","","","","",""
"21","Initial Ln IFN-y (pg/mL)","Ln AGP Age 14 months (g/L)","212","1.67","2.32","-0.1","-0.09","0.01 (0, 0.02)","0.1"
"22","","Ln CRP Age 14 months (mg/L)","192","1.67","2.31","-0.28","-0.3","-0.02 (-0.25, 0.22)","0.9"
"23","","Ln IFN-y Age 14 months (pg/mL)","206","1.66","2.3","1.66","1.68","0.02 (-0.07, 0.11)","0.69"
"24","","Sum score of 13 cytokines Age 14 months","206","1.66","2.3","-0.27","-0.32","-0.05 (-0.26, 0.17)","0.7"
"25","","Ln AGP Age 28 months (g/L)","164","1.51","2.1","-0.34","-0.3","0.04 (-0.05, 0.12)","0.38"
"26","","Ln CRP Age 28 months (mg/L)","333","1.63","2.3","-0.27","-0.35","-0.09 (-0.3, 0.13)","0.45"
"27","","Ln IFN-y Age 28 months (pg/mL)","322","1.62","2.3","1.71","1.7","-0.01 (-0.1, 0.08)","0.86"
"28","","Sum score of 13 cytokines Age 28 months","322","1.62","2.3","-0.41","-0.44","-0.04 (-0.17, 0.1)","0.61"
"29","","","","","","","","",""
"30","Sum score of 13 cytokines","Ln AGP Age 14 months (g/L)","212","-0.71","0.62","-0.1","-0.08","0.03 (-0.05, 0.1)","0.51"
"31","","Ln CRP Age 14 months (mg/L)","192","-0.74","0.62","-0.26","-0.31","-0.05 (-0.33, 0.23)","0.76"
"32","","Ln IFN-y Age 14 months (pg/mL)","206","-0.73","0.62","1.67","1.66","-0.01 (-0.11, 0.09)","0.88"
"33","","Sum score of 13 cytokines Age 14 months","206","-0.73","0.62","-0.29","-0.36","-0.06 (-0.23, 0.11)","0.48"
"34","","Ln AGP Age 28 months (g/L)","164","-0.9","0.34","-0.32","-0.29","0.03 (-0.06, 0.13)","0.52"
"35","","Ln CRP Age 28 months (mg/L)","333","-0.64","0.69","-0.29","-0.34","-0.05 (-0.28, 0.18)","0.66"
"36","","Ln IFN-y Age 28 months (pg/mL)","322","-0.66","0.68","1.73","1.7","-0.03 (-0.12, 0.07)","0.62"
"37","","Sum score of 13 cytokines Age 28 months","322","-0.66","0.68","-0.3","-0.55","-0.25 (-0.58, 0.09)","0.15"
