"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Pregnancy Cortisol","Ln CRP Age 14 months","364","2.49","3.27","-0.21","-0.04","0.17 (-0.1, 0.44)","0.21","0.56"
"4","","Ln AGP Age 14 months","418","2.47","3.26","-0.01","0","0.01 (-0.06, 0.08)","0.84","0.97"
"5","","Ln IFN Age 14 months","406","2.47","3.27","1.95","1.96","0.01 (-0.11, 0.13)","0.9","0.97"
"6","","Sum score of 13 cytokines Age 14 months","406","2.47","3.27","-0.06","-0.04","0.02 (-0.24, 0.28)","0.9","0.97"
"7","","Ln CRP Age 28 months","492","2.53","3.26","-0.13","0.06","0.19 (0, 0.37)","0.05","0.37"
"8","","Ln AGP Age 28 months","251","2.48","3.24","-0.15","-0.08","0.07 (-0.03, 0.17)","0.19","0.56"
"9","","Ln IFN Age 28 months","484","2.52","3.26","1.61","1.65","0.03 (-0.1, 0.17)","0.62","0.97"
"10","","Sum score of 13 cytokines Age 28 months","483","2.52","3.26","-0.22","-0.23","0 (-0.19, 0.18)","0.97","0.97"
