"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","","","","","","","","","","","","","","",""
"4","Ln sTfR (mg/L)","Th1/Th2 Age 14 months","415","1.28","1.68","0.09","0.08","-0.01 (-0.06, 0.04)","0.69","0.79","0.04","0.02","-0.02 (-0.07, 0.03)","0.46","0.84"
"5","","Th1/IL-10 Age 14 months","417","1.28","1.68","1.12","1.07","-0.05 (-0.12, 0.01)","0.13","0.79","1.03","0.96","-0.06 (-0.13, 0.01)","0.07","0.84"
"6","","Th2/IL-10 Age 14 months","415","1.28","1.68","0.93","0.9","-0.03 (-0.1, 0.05)","0.54","0.79","0.82","0.8","-0.01 (-0.09, 0.07)","0.78","0.9"
"7","","Proinflammatory/IL-10 Age 14 months","416","1.28","1.68","1.34","1.29","-0.04 (-0.12, 0.04)","0.33","0.79","1.2","1.17","-0.03 (-0.22, 0.16)","0.79","0.9"
"8","","Th1/Th2 Age 28 months","488","1.3","1.69","-0.19","-0.22","-0.02 (-0.08, 0.04)","0.45","0.79","-0.1","-0.13","-0.03 (-0.09, 0.03)","0.33","0.84"
"9","","Th1/IL-10 Age 28 months","485","1.3","1.68","1.44","1.27","-0.17 (-0.34, 0.01)","0.06","0.79","1.4","1.27","-0.13 (-0.3, 0.04)","0.14","0.84"
"10","","Th2/IL-10 Age 28 months","484","1.3","1.68","1.61","1.48","-0.14 (-0.35, 0.07)","0.2","0.79","1.4","1.28","-0.13 (-0.34, 0.08)","0.24","0.84"
"11","","Proinflammatory/IL-10 Age 28 months","483","1.29","1.68","1.98","2","0.02 (-0.16, 0.2)","0.86","0.92","1.69","1.71","0.02 (-0.17, 0.21)","0.85","0.91"
