"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Vit D (nmol/L)","Ln AGP Age 14 months","434","32.53","54.57","6.78","6.81","0.03 (-0.02, 0.09)","0.26","0.68","6.91","6.92","0.01 (-0.08, 0.1)","0.8","0.86"
"4","","Ln CRP Age 14 months","374","32.54","54.48","7.08","7.18","0.09 (-0.16, 0.35)","0.48","0.82","6.76","6.86","0.1 (-0.15, 0.35)","0.44","0.67"
"5","","Ln IFN Age 14 months","420","32.16","54.37","1.91","1.87","-0.04 (-0.17, 0.09)","0.58","0.84","2.01","1.95","-0.05 (-0.19, 0.08)","0.43","0.67"
"6","","Sum score of 13 cytokines Age 14 months","420","32.16","54.37","-0.46","-0.35","0.11 (-0.02, 0.23)","0.1","0.41","-0.02","0.09","0.1 (-0.03, 0.24)","0.13","0.4"
"7","","Ln IFN Age 28 months","489","32.53","55.44","1.6","1.6","0 (-0.08, 0.08)","0.99","0.99","1.59","1.6","0.01 (-0.07, 0.08)","0.9","0.9"
"8","","Sum score of 13 cytokines Age 28 months","489","32.53","55.44","-0.53","-0.57","-0.03 (-0.15, 0.08)","0.57","0.84","-0.21","-0.23","-0.02 (-0.13, 0.1)","0.8","0.86"
"9","","","","","","","","","","","","","","",""
"10","Log ferritin","Ln AGP Age 14 months","434","2.53","3.91","6.83","6.77","-0.05 (-0.12, 0.01)","0.11","0.41","6.95","6.87","-0.08 (-0.2, 0.04)","0.2","0.47"
"11","","Ln CRP Age 14 months","374","2.52","3.91","7.5","7.04","-0.46 (-1.01, 0.08)","0.09","0.41","7.11","6.62","-0.49 (-1.04, 0.07)","0.08","0.4"
"12","","Ln IFN Age 14 months","420","2.53","3.89","1.95","1.88","-0.07 (-0.15, 0.02)","0.11","0.41","2.02","1.94","-0.08 (-0.17, 0.01)","0.06","0.4"
"13","","Sum score of 13 cytokines Age 14 months","420","2.53","3.89","-0.31","-0.47","-0.17 (-0.32, -0.01)","0.03","0.33","0.07","-0.1","-0.16 (-0.33, 0)","0.05","0.4"
"14","","Ln IFN Age 28 months","489","2.59","3.87","1.57","1.62","0.05 (-0.04, 0.14)","0.27","0.68","1.61","1.67","0.06 (-0.03, 0.15)","0.2","0.47"
"15","","Sum score of 13 cytokines Age 28 months","489","2.59","3.87","-0.55","-0.55","0 (-0.13, 0.13)","0.98","0.99","-0.35","-0.13","0.22 (-0.07, 0.51)","0.13","0.4"
"16","","","","","","","","","","","","","","",""
"17","Log sTfR","Ln AGP Age 14 months","434","1.28","1.68","6.8","6.78","-0.02 (-0.07, 0.02)","0.37","0.78","6.91","6.88","-0.03 (-0.08, 0.02)","0.23","0.49"
"18","","Ln CRP Age 14 months","374","1.29","1.68","7.12","7.05","-0.08 (-0.3, 0.14)","0.5","0.82","6.82","6.73","-0.09 (-0.31, 0.13)","0.44","0.67"
"19","","Ln IFN Age 14 months","420","1.28","1.68","1.84","1.85","0.01 (-0.15, 0.18)","0.9","0.99","1.94","1.9","-0.05 (-0.21, 0.12)","0.6","0.79"
"20","","Sum score of 13 cytokines Age 14 months","420","1.28","1.68","-0.47","-0.51","-0.04 (-0.34, 0.25)","0.78","0.97","0","-0.09","-0.09 (-0.39, 0.21)","0.57","0.78"
