"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Low Vitamin A Status","Ln AGP Age 14 months (g/L)","374","0","1","0.19","0.28","0.09 (-0.3, 0.48)","0.66","0.66","0.19","0.28","0.09 (-0.3, 0.48)","0.66","0.66"
"4","","Ln CRP Age 14 months (mg/L)","434","0","1","-0.12","-0.09","0.03 (-0.08, 0.13)","0.65","0.66","-0.12","-0.09","0.03 (-0.08, 0.13)","0.65","0.66"
"5","","Ln IFN-y Age 14 months (pg/mL)","420","0","1","1.9","1.96","0.06 (-0.07, 0.19)","0.39","0.51","1.9","1.96","0.06 (-0.07, 0.19)","0.39","0.51"
"6","","Sum score of 13 cytokines Age 14 months","420","0","1","-0.43","-0.27","0.15 (-0.09, 0.4)","0.22","0.44","-0.43","-0.27","0.15 (-0.09, 0.4)","0.22","0.44"
"7","","Ln AGP Age 28 months (g/L)","498","0","1","-0.1","-0.25","-0.15 (-0.46, 0.16)","0.35","0.51","-0.1","-0.25","-0.15 (-0.46, 0.16)","0.35","0.51"
"8","","Ln CRP Age 28 months (mg/L)","251","0","1","-0.16","-0.27","-0.1 (-0.27, 0.06)","0.22","0.44","-0.16","-0.27","-0.1 (-0.27, 0.06)","0.22","0.44"
"9","","Ln IFN-y Age 28 months (pg/mL)","489","0","1","1.62","1.49","-0.12 (-0.27, 0.02)","0.1","0.4","1.62","1.49","-0.12 (-0.27, 0.02)","0.1","0.4"
"10","","Sum score of 13 cytokines Age 28 months","489","0","1","-0.52","-0.71","-0.19 (-0.41, 0.02)","0.08","0.4","-0.52","-0.71","-0.19 (-0.41, 0.02)","0.08","0.4"
