"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln sTfR (mg/L)","Th1/Th2 Age 14 months","415","1.28","1.68","0.09","0.08","-0.01 (-0.06, 0.04)","0.69","0.79","0.05","0.02","-0.02 (-0.08, 0.03)","0.36","0.83"
"4","","Th1/IL-10 Age 14 months","417","1.28","1.68","1.12","1.07","-0.05 (-0.12, 0.01)","0.13","0.79","1.03","0.97","-0.06 (-0.13, 0.01)","0.09","0.83"
"5","","Th2/IL-10 Age 14 months","415","1.28","1.68","0.93","0.9","-0.03 (-0.1, 0.05)","0.54","0.79","0.82","0.81","-0.01 (-0.09, 0.07)","0.9","0.96"
"6","","Proinflammatory/IL-10 Age 14 months","416","1.28","1.68","1.34","1.29","-0.04 (-0.12, 0.04)","0.33","0.79","1.24","1.21","-0.03 (-0.22, 0.17)","0.78","0.96"
"7","","Th1/Th2 Age 28 months","488","1.3","1.69","-0.19","-0.22","-0.02 (-0.08, 0.04)","0.45","0.79","-0.1","-0.13","-0.03 (-0.09, 0.03)","0.33","0.83"
"8","","Th1/IL-10 Age 28 months","485","1.3","1.68","1.44","1.27","-0.17 (-0.34, 0.01)","0.06","0.79","1.39","1.26","-0.13 (-0.3, 0.04)","0.13","0.83"
"9","","Th2/IL-10 Age 28 months","484","1.3","1.68","1.61","1.48","-0.14 (-0.35, 0.07)","0.2","0.79","1.41","1.28","-0.13 (-0.34, 0.08)","0.23","0.83"
"10","","Proinflammatory/IL-10 Age 28 months","483","1.29","1.68","1.98","2","0.02 (-0.16, 0.2)","0.86","0.92","1.7","1.72","0.01 (-0.17, 0.2)","0.89","0.96"
