"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln Cortisol (ug/dL)","Ln AGP Age 14 months (g/L)","259","2.57","3.28","-0.09","-0.12","-0.02 (-0.11, 0.06)","0.58"
"4","","Ln CRP Age 14 months (mg/L)","232","2.61","3.29","-0.24","-0.38","-0.14 (-0.4, 0.12)","0.29"
"5","","Ln IFN-y Age 14 months (pg/mL)","255","2.54","3.28","1.55","1.54","-0.01 (-0.11, 0.09)","0.87"
"6","","Sum score of 13 cytokines Age 14 months","249","2.57","3.27","-0.39","-0.38","0.01 (-0.2, 0.22)","0.95"
"7","","Ln AGP Age 28 months (g/L)","164","2.45","3.24","-0.36","-0.34","0.02 (-0.1, 0.14)","0.73"
"8","","Ln CRP Age 28 months (mg/L)","343","2.57","3.27","-0.38","-0.33","0.05 (-0.14, 0.24)","0.63"
"9","","Ln IFN-y Age 28 months (pg/mL)","334","2.56","3.27","1.48","1.6","0.12 (-0.06, 0.31)","0.19"
"10","","Sum score of 13 cytokines Age 28 months","334","2.56","3.27","-0.41","-0.51","-0.1 (-0.25, 0.05)","0.21"
